service/carts/qps(2xx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/carts/latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/catalogue/qps(2xx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/catalogue/latency,0.001668093,0.001668093,0.001668093,0.002723607,0.002723607,0.002723607,0.002546883,0.002546883,0.002546883,0.00337161,0.00337161,0.00337161,0.001572683,0.001572683,0.001572683,0.002637501,0.002637501,0.002637501,0.005334799,0.005334799,0.005334799,0.003559706,0.003559706,0.003559706,0.002460863,0.002460863,0.002460863,0.002988141,0.002988141,0.002988141,0.001812436,0.001812436,0.001812436,0.002872272,0.002872272,0.002872272,0.002996085,0.002996085,0.002996085,0.001906788,0.001906788,0.001906788,0.002386701,0.002386701,0.002386701,0.002301022,0.002301022,0.002301022,0.001827738,0.001827738,0.001827738,0.002712381,0.002712381,0.002712381,0.002563403,0.002563403,0.002563403,0.002098985,0.002098985,0.002098985,0.002790057,0.002790057,0.002790057,0.002449935,0.002449935,0.002449935,0.001725437,0.001725437,0.001725437,0.002412048,0.002412048,0.002412048,0.00265784,0.00265784,0.00265784,0.001948662,0.001948662,0.001948662,0.003154168,0.003154168,0.003154168,0.002131926,0.002131926,0.002131926,0.0018475,0.0018475,0.0018475,0.003122577,0.003122577,0.003122577,0.003758283,0.003758283,0.003758283,0.00161799,0.00161799,0.00161799,0.002203125,0.002203125,0.002203125,0.00278871,0.00278871,0.00278871,0.001688471,0.001688471,0.001688471,0.003366483,0.003366483,0.003366483,0.002565597,0.002565597,0.002565597,0.001821452,0.001821452,0.001821452,0.002414101,0.002414101,0.002414101,0.002821685,0.002821685,0.002821685,0.001663525,0.001663525,0.001663525,0.002575852,0.002575852,0.002575852,0.001788449,0.001788449,0.001788449,0.005000697,0.005000697,0.005000697,0.002618505,0.002618505,0.002618505,0.001813669,0.001813669,0.001813669,0.004142182,0.004142182,0.004142182,0.003324339,0.003324339,0.003324339,0.001663489,0.001663489,0.001663489,0.004240755,0.004240755,0.004240755,0.004332641,0.004332641,0.004332641,0.00226261
service/front-end/qps(2xx),1.666666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333300003,0.563861114,1.103844448,1.26096667,1.637461114,1.666700003,1.666666667,1.666666667,1.666666667,1.666633337,1.666633337,1.666633337,1.666700003,1.666700003,1.666700003,1.933333333,1.933333333,1.933333333,2,2,2,1.999977779,1.999977779,1.999977779,2.000022223,2.133355556,2.36668889,2.366666667,2.8,3.233066773,3.233066773,3.333066773,3.333600107,3.3334668,3.3334668,3.333200027,3.333466693,3.333466693,3.333466693,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333266673,3.333266673,3.333266673,3.333400007,3.333400007,3.333400007,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333222241,3.333222241,3.333222241,3.333444463,3.333444463,3.333444463,3.333311112,3.333311112,3.333311112,3.333355556,3.333355556,3.333355556,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333311112,3.333311112,3.333311112
service/front-end/latency,0.001474062,0.001446375,0.001740333,0.002604528,0.002604528,0.001769973,0.001769973,0.001769973,0.001343152,0.001626529,0.00180388,0.001676899,0.001586505,0.001467544,0.00171654,0.001671618,0.001639072,0.001394499,0.001416439,0.001523704,0.001515657,0.001539696,0.001595284,0.001658558,0.001707903,0.001681842,0.001885665,0.001931611,0.001857477,0.001829508,0.001691706,0.001626583,0.001357751,0.001402346,0.001411689,0.001404529,0.001479195,0.001474145,0.001565203,0.001611553,0.00193736,0.00184298,0.001847441,0.001484302,0.001472857,0.001316363,0.001363703,0.001388663,0.001415015,0.001340796,0.001367843,0.001347729,0.001411964,0.001560458,0.001485833,0.001443645,0.001269672,0.001533013,0.001603136,0.001619489,0.00142201,0.001376836,0.001345123,0.001324949,0.001278439,0.001289386,0.001328025,0.001391357,0.001405921,0.001552887,0.001527343,0.001504584,0.001317808,0.001300733,0.001271763,0.001297452,0.001272423,0.001370941,0.001423286,0.001633014,0.001554195,0.001747813,0.001666175,0.001652744,0.001669555,0.00152499,0.001710366,0.001417109,0.001448733,0.001299125,0.001291531,0.001270057,0.001262835,0.001255465,0.001242754,0.001212121,0.001209848,0.001220306,0.001286872,0.001317717,0.001335688,0.001273473,0.001242445,0.001225311,0.001481643,0.001516105,0.001494556,0.001229093,0.001305854,0.00142299,0.00150656,0.001416873,0.001339599,0.001310546,0.001293279,0.001288586,0.001272134,0.001445616,0.001841219,0.00184964,0.001697373,0.001445336,0.001418547,0.0013983,0.001483343,0.001507809,0.001534589,0.002445577,0.002400204,0.002400932,0.002278123,0.002274437,0.002353843,0.004236333,0.004288403,0.004181736,0.001833777,0.001771503,0.001763989,0.005462898,0.005514514,0.005523779,0.004340415,0.004317848,0.004475326,0.008446475,0.008810971,0.008655855,0.007522697,0.007254166,0.007486315,0.014726651,0.014655058,0.014392425
service/orders/qps(2xx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/orders/latency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/payment/qps(2xx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service/payment/latency,0.00164548,0.00164548,0.00314937,0.00314937,0.00314937,0.002465599,0.002465599,0.002465599,0.001791026,0.001791026,0.001791026,0.002077833,0.002077833,0.002077833,0.002335519,0.002335519,0.002335519,0.001466086,0.001466086,0.001466086,0.002808414,0.002808414,0.002808414,0.002403158,0.002403158,0.002403158,0.001675472,0.001675472,0.001675472,0.002523612,0.002523612,0.002523612,0.00270555,0.00270555,0.00270555,0.001638285,0.001638285,0.001638285,0.002290939,0.002290939,0.002290939,0.002381213,0.002381213,0.002381213,0.001603178,0.001603178,0.001603178,0.00230929,0.00230929,0.00230929,0.00224898,0.00224898,0.00224898,0.001542746,0.001542746,0.001542746,0.002309903,0.002309903,0.002309903,0.002773192,0.002773192,0.002773192,0.001615578,0.001615578,0.001615578,0.00266447,0.00266447,0.00266447,0.002551275,0.002551275,0.002551275,0.001512388,0.001512388,0.001512388,0.002577278,0.002577278,0.002577278,0.0022063,0.0022063,0.0022063,0.001722714,0.001722714,0.001722714,0.002762951,0.002762951,0.002762951,0.003358755,0.003358755,0.003358755,0.002062517,0.002062517,0.002062517,0.003177646,0.003177646,0.003177646,0.002326842,0.002326842,0.002326842,0.001680945,0.001680945,0.001680945,0.002448551,0.002448551,0.002448551,0.002693102,0.002693102,0.002693102,0.001564658,0.001564658,0.001564658,0.002980501,0.002980501,0.002980501,0.002188273,0.002188273,0.002188273,0.001599825,0.001599825,0.001599825,0.002061568,0.002061568,0.002061568,0.002326574,0.002326574,0.002326574,0.001565922,0.001565922,0.001565922,0.002659163,0.002659163,0.002659163,0.001550791,0.001550791,0.001550791,0.002119115,0.002119115,0.002119115,0.002377892,0.002377892,0.002377892,0.001448784,0.001448784,0.001448784,0.002832599,0.002832599,0.002832599,0.002497211,0.002497211,0.002497211,0.0016011,0.0016011,0.0016011,0.002216716,0.002216716
